Total Abgeordnete: 4379

Wassermann 422 Abgeordnete
Widder 392 Abgeordnete
Stier 388 Abgeordnete
Krebs 386 Abgeordnete
Zwillinge 384 Abgeordnete
Fische 371 Abgeordnete
Steinbock 367 Abgeordnete
Löwe 365 Abgeordnete
Jungfrau 341 Abgeordnete
Waage 340 Abgeordnete
Schütze 335 Abgeordnete
Skorpion 288 Abgeordnete

Waage 340 Abgeordnete
11002823, 'Ute', 'Vogt', '03.10.1964', 'SPD', 'Waage'
11002824, 'Klaus-Jürgen', 'Warnick', '21.10.1952', 'PDS', 'Waage'
11002939, 'Hanns-Peter', 'Hartmann', '27.09.1943', 'PDS', 'Waage'
11003054, 'Willi', 'Brase', '10.10.1951', 'SPD', 'Waage'
11003135, 'Klaus', 'Grehn', '26.09.1940', 'PDS', 'Waage'
11003136, 'Monika', 'Griefahn', '03.10.1954', 'SPD', 'Waage'
11003143, 'Ursula', 'Heinen', '07.10.1965', 'CDU', 'Waage'
11003148, 'Gustav', 'Herzog', '11.10.1958', 'SPD', 'Waage'
11003153, 'Klaus', 'Holetschek', '21.10.1964', 'CSU', 'Waage'
11003160, 'Gudrun', 'Kopp', '18.10.1950', 'FDP', 'Waage'
11003162, 'Anette', 'Kramme', '10.10.1967', 'SPD', 'Waage'
11003171, 'Eckhart', 'Lewering', '23.10.1943', 'SPD', 'Waage'
11003189, 'Tobias', 'Marhold', '03.10.1969', 'SPD', 'Waage'
11003232, 'Gerhard', 'Schüßler', '02.10.1937', 'FDP', 'Waage'
11003254, 'Hedi', 'Wegener', '01.10.1945', 'SPD', 'Waage'
11003260, 'Jürgen', 'Wieczorek', '15.10.1948', 'SPD', 'Waage'
11003493, 'Kerstin', 'Andreae', '21.10.1968', 'BÜNDNIS 90/DIE GRÜNEN', 'Waage'
11003508, 'Gerd', 'Bollmann', '28.09.1947', 'SPD', 'Waage'
11003510, 'Helge', 'Braun', '18.10.1972', 'CDU', 'Waage'
11003529, 'Gabriele', 'Frechen', '12.10.1956', 'SPD', 'Waage'
11003541, 'Michael', 'Grosse-Brömer', '12.10.1960', 'CDU', 'Waage'
11003542, 'Markus', 'Grübel', '15.10.1959', 'CDU', 'Waage'
11003544, 'Olav', 'Gutting', '14.10.1970', 'CDU', 'Waage'
