Total Abgeordnete: 726

Stier 73 Abgeordnete
Waage 68 Abgeordnete
Jungfrau 67 Abgeordnete
Zwillinge 66 Abgeordnete
Löwe 62 Abgeordnete
Krebs 61 Abgeordnete
Wassermann 60 Abgeordnete
Steinbock 59 Abgeordnete
Schütze 58 Abgeordnete
Fische 56 Abgeordnete
Widder 53 Abgeordnete
Skorpion 43 Abgeordnete

Steinbock 59 Abgeordnete
11004783, 'Katharina', 'Kloke', '19.02.1987', 'FDP', 'Wassermann'
11004796, 'Konstantin', 'Kuhle', '11.02.1989', 'FDP', 'Wassermann'
11004832, 'Sepp', 'Müller', '22.01.1989', 'CDU', 'Wassermann'
11004837, 'Zaklin', 'Nastic', '29.01.1980', 'BSW', 'Wassermann'
11004848, 'Sören', 'Pellmann', '11.02.1977', 'DIE LINKE.', 'Wassermann'
11004849, 'Victor', 'Perli', '01.02.1982', 'DIE LINKE.', 'Wassermann'
11004853, 'Stephan', 'Pilsinger', '17.02.1987', 'CSU', 'Wassermann'
11004871, 'Christian', 'Sauter', '11.02.1980', 'FDP', 'Wassermann'
11004878, 'Uwe', 'Schmidt', '14.02.1966', 'SPD', 'Wassermann'
11004883, 'Felix', 'Schreiner', '29.01.1986', 'CDU', 'Wassermann'
11004908, 'Benjamin', 'Strasser', '09.02.1987', 'FDP', 'Wassermann'
11004930, 'Alice', 'Weidel', '06.02.1979', 'AfD', 'Wassermann'
11004959, 'Dorothee', 'Martin', '21.01.1978', 'SPD', 'Wassermann'
11005001, 'Valentin', 'Abel', '07.02.1991', 'FDP', 'Wassermann'
11005026, 'René', 'Bochmann', '04.02.1969', 'AfD', 'Wassermann'
11005034, 'Frank', 'Bsirske', '10.02.1952', 'BÜNDNIS 90/DIE GRÜNEN', 'Wassermann'
11005040, 'Martin', 'Diedenhofen', '05.02.1995', 'SPD', 'Wassermann'
11005053, 'Robert', 'Farle', '16.02.1950', 'AfD', 'Wassermann'
11005065, 'Jan-Niclas', 'Gesenhues', '12.02.1990', 'BÜNDNIS 90/DIE GRÜNEN', 'Wassermann'
11005092, 'Steffen', 'Janich', '22.01.1971', 'AfD', 'Wassermann'
11005106, 'Ottilie', 'Klein', '14.02.1984', 'CDU', 'Wassermann'
11005116, 'Martin', 'Kröber', '12.02.1992', 'SPD', 'Wassermann'
11005135, 'Bettina', 'Lugk', '03.02.1982', 'SPD', 'Wassermann'
11005140, 'Holger', 'Mann', '19.02.1979', 'SPD', 'Wassermann'
11005143, 'Parsa', 'Marvi', '06.02.1982', 'SPD', 'Wassermann'
11005144, 'Franziska', 'Mascheck', '04.02.1979', 'SPD', 'Wassermann'
11005149, 'Susanne', 'Menge', '11.02.1960', 'BÜNDNIS 90/DIE GRÜNEN', 'Wassermann'
11005155, 'Boris', 'Mijatović', '04.02.1974', 'BÜNDNIS 90/DIE GRÜNEN', 'Wassermann'
11005163, 'Stefan', 'Nacke', '27.01.1976', 'CDU', 'Wassermann'
11005167, 'Ophelia', 'Nick', '24.01.1973', 'BÜNDNIS 90/DIE GRÜNEN', 'Wassermann'
11005171, 'Moritz', 'Oppelt', '04.02.1989', 'CDU', 'Wassermann'
11005176, 'Mathias', 'Papendieck', '18.02.1982', 'SPD', 'Wassermann'
11005190, 'Lars', 'Rohwer', '01.02.1972', 'CDU', 'Wassermann'
11005191, 'Sebastian', 'Roloff', '28.01.1983', 'SPD', 'Wassermann'
11005243, 'Frank', 'Ullrich', '24.01.1958', 'SPD', 'Wassermann'
11005310, 'Nadine', 'Ruf', '02.02.1978', 'SPD', 'Wassermann'

Krebs 61 Abgeordnete
11002667, 'Manfred', 'Grund', '03.07.1955', 'CDU', 'Krebs'
11002765, 'Norbert', 'Röttgen', '02.07.1965', 'CDU', 'Krebs'
11003525, 'Enak', 'Ferlemann', '12.07.1963', 'CDU', 'Krebs'
11003599, 'Rolf', 'Mützenich', '25.06.1959', 'SPD', 'Krebs'
11003613, 'Daniela', 'Raab', '07.07.1975', 'CSU', 'Krebs'
11004056, 'Ansgar', 'Heveling', '03.07.1972', 'CDU', 'Krebs'
11004075, 'Pascal', 'Kober', '03.07.1971', 'FDP', 'Krebs'
11004168, 'Dieter', 'Stier', '29.06.1964', 'CDU', 'Krebs'
11004183, 'Sahra', 'Wagenknecht', '16.07.1969', 'BSW', 'Krebs'
11004215, 'Harald', 'Ebner', '08.07.1964', 'BÜNDNIS 90/DIE GRÜNEN', 'Krebs'
11004282, 'Uli', 'Grötsch', '14.07.1975', 'SPD', 'Krebs'
11004289, 'Metin', 'Hakverdi', '25.06.1969', 'SPD', 'Krebs'
11004291, 'Sebastian', 'Hartmann', '07.07.1977', 'SPD', 'Krebs'
11004303, 'Thomas', 'Hitschler', '22.06.1982', 'SPD', 'Krebs'
11004325, 'Gabriele', 'Katzmarek', '08.07.1960', 'SPD', 'Krebs'
11004352, 'Jan', 'Metzler', '05.07.1981', 'CDU', 'Krebs'
11004366, 'Florian', 'Oßner', '05.07.1980', 'CSU', 'Krebs'
11004368, 'Mahmut', 'Özdemir', '23.06.1987', 'SPD', 'Krebs'
11004388, 'Dennis', 'Rohde', '24.06.1986', 'SPD', 'Krebs'
11004423, 'Claudia', 'Tausend', '22.07.1964', 'SPD', 'Krebs'
11004425, 'Astrid', 'Timmermann-Fechter', '22.06.1963', 'CDU', 'Krebs'
11004444, 'Dirk', 'Wiese', '11.07.1983', 'SPD', 'Krebs'
11004709, 'Thomas', 'Erndl', '22.07.1974', 'CSU', 'Krebs'
11004726, 'Stefan', 'Gelbhaar', '09.07.1976', 'BÜNDNIS 90/DIE GRÜNEN', 'Krebs'
11004741, 'Thomas', 'Heilmann', '16.07.1964', 'CDU', 'Krebs'
11004754, 'Gero Clemens', 'Hocker', '30.06.1975', 'FDP', 'Krebs'
11004826, 'Siemtje', 'Möller', '20.07.1983', 'SPD', 'Krebs'
11004828, 'Alexander', 'Müller', '17.07.1969', 'FDP', 'Krebs'
11004836, 'Sebastian', 'Münzenmaier', '02.07.1989', 'AfD', 'Krebs'
11004854, 'Christoph', 'Ploß', '19.07.1985', 'CDU', 'Krebs'
11004857, 'Filiz', 'Polat', '11.07.1978', 'BÜNDNIS 90/DIE GRÜNEN', 'Krebs'
11004876, 'Nils', 'Schmid', '11.07.1973', 'SPD', 'Krebs'
11004884, 'Michael', 'Schrodi', '03.07.1977', 'SPD', 'Krebs'
11004900, 'René', 'Springer', '15.07.1979', 'AfD', 'Krebs'
11005000, 'Sanae', 'Abdi', '07.07.1986', 'SPD', 'Krebs'
11005011, 'Andreas', 'Audretsch', '25.06.1984', 'BÜNDNIS 90/DIE GRÜNEN', 'Krebs'
11005020, 'Roger', 'Beckamp', '18.07.1975', 'AfD', 'Krebs'
11005021, 'Holger', 'Becker', '15.07.1964', 'SPD', 'Krebs'
11005023, 'Jürgen', 'Berghahn', '05.07.1960', 'SPD', 'Krebs'
11005045, 'Deborah', 'Düring', '18.07.1994', 'BÜNDNIS 90/DIE GRÜNEN', 'Krebs'
11005064, 'Knut', 'Gerschau', '03.07.1961', 'FDP', 'Krebs'
11005072, 'Serap', 'Güler', '07.07.1980', 'CDU', 'Krebs'
11005096, 'Macit', 'Karaahmetoğlu', '11.07.1968', 'SPD', 'Krebs'
11005108, 'Annika', 'Klose', '24.06.1992', 'SPD', 'Krebs'
11005115, 'Dunja', 'Kreiser', '27.06.1971', 'SPD', 'Krebs'
11005119, 'Kevin', 'Kühnert', '01.07.1989', 'SPD', 'Krebs'
11005120, 'Sarah', 'Lahrkamp', '04.07.1981', 'SPD', 'Krebs'
11005123, 'Ina', 'Latendorf', '26.06.1971', 'DIE LINKE.', 'Krebs'
11005136, 'Kristine', 'Lütke', '29.06.1982', 'FDP', 'Krebs'
11005146, 'Volker', 'Mayer-Lay', '22.06.1981', 'CDU', 'Krebs'
11005166, 'Edgar', 'Naujok', '25.06.1960', 'AfD', 'Krebs'
11005185, 'Markus', 'Reichel', '15.07.1968', 'CDU', 'Krebs'
11005198, 'Catarina', 'Santos Firnhaber', '08.07.1994', 'CDU', 'Krebs'
11005201, 'Sebastian', 'Schäfer', '11.07.1979', 'BÜNDNIS 90/DIE GRÜNEN', 'Krebs'
11005203, 'Bernd', 'Schattner', '27.06.1968', 'AfD', 'Krebs'
11005208, 'Christoph', 'Schmid', '08.07.1976', 'SPD', 'Krebs'
11005228, 'Till', 'Steffen', '22.07.1973', 'BÜNDNIS 90/DIE GRÜNEN', 'Krebs'
11005242, 'Katrin', 'Uhlig', '05.07.1982', 'BÜNDNIS 90/DIE GRÜNEN', 'Krebs'
11005244, 'Oliver', 'Vogt', '15.07.1977', 'CDU', 'Krebs'
11005267, 'Armand', 'Zorn', '18.07.1988', 'SPD', 'Krebs'
11005289, 'Clara', 'Bünger', '04.07.1986', 'DIE LINKE.', 'Krebs'

Zwillinge 66 Abgeordnete
11002733, 'Michael', 'Meister', '09.06.1961', 'CDU', 'Zwillinge'
11003199, 'Dietmar', 'Nietan', '25.05.1964', 'SPD', 'Zwillinge'
11003231, 'Olaf', 'Scholz', '14.06.1958', 'SPD', 'Zwillinge'
11003259, 'Annette', 'Widmann-Mauz', '13.06.1966', 'CDU', 'Zwillinge'
11003516, 'Alexander', 'Dobrindt', '07.06.1970', 'CSU', 'Zwillinge'
11003585, 'Anna', 'Lührmann', '14.06.1983', 'BÜNDNIS 90/DIE GRÜNEN', 'Zwillinge'
11003620, 'Albert', 'Rupprecht', '10.06.1968', 'CSU', 'Zwillinge'
11003710, 'Bärbel', 'Kofler', '24.05.1967', 'SPD', 'Zwillinge'
11003838, 'Marianne', 'Schieder', '23.05.1962', 'SPD', 'Zwillinge'
